Date,Open,High,Low,Close,Adj Close,,,,,
5/1/2015,0.651220159,0.64949995,0.661109818,0.651269781,0.651269781,1.535579,1.539646,1.512608,1.535462,1.535462
5/4/2015,0.659799909,0.658899993,0.662610167,0.660209815,0.660209815,1.515611,1.517681,1.509183,1.51467,1.51467
5/5/2015,0.661279881,0.657499804,0.662499983,0.661250146,0.661250146,1.512219,1.520913,1.509434,1.512287,1.512287
5/6/2015,0.659180138,0.653999995,0.659799909,0.659009851,0.659009851,1.517036,1.529052,1.515611,1.517428,1.517428
5/7/2015,0.656189938,0.655610022,0.659270096,0.656080157,0.656080157,1.523949,1.525297,1.516829,1.524204,1.524204
5/8/2015,0.649480124,0.644249781,0.65112984,0.649050148,0.649050148,1.539693,1.552193,1.535792,1.540713,1.540713
5/11/2015,0.647709924,0.641199916,0.649399987,0.647920176,0.647920176,1.543901,1.559576,1.539883,1.5434,1.5434
5/12/2015,0.641869947,0.636600046,0.642669805,0.641970078,0.641970078,1.557948,1.570845,1.556009,1.557705,1.557705
5/13/2015,0.638239888,0.634430009,0.639570209,0.638120149,0.638120149,1.566809,1.576218,1.56355,1.567103,1.567103
5/14/2015,0.635399908,0.632389871,0.635689921,0.635319979,0.635319979,1.573812,1.581303,1.573094,1.57401,1.57401
5/15/2015,0.633979929,0.632599897,0.636739892,0.634030175,0.634030175,1.577337,1.580778,1.5705,1.577212,1.577212
5/18/2015,0.635359941,0.635359941,0.638780083,0.635079909,0.635079909,1.573911,1.573911,1.565484,1.574605,1.574605
5/19/2015,0.638409798,0.638100197,0.647000023,0.638419987,0.638419987,1.566392,1.567152,1.545595,1.566367,1.566367
5/20/2015,0.644500158,0.641399791,0.646120049,0.644490189,0.644490189,1.55159,1.55909,1.5477,1.551614,1.551614
5/21/2015,0.6433901,0.63690008,0.644019921,0.643380165,0.643380165,1.554267,1.570105,1.552747,1.554291,1.554291
5/22/2015,0.638530053,0.637299888,0.645699929,0.638409798,0.638409798,1.566097,1.56912,1.548707,1.566392,1.566392
5/25/2015,0.646100011,0.644799786,0.646869861,0.646200214,0.646200214,1.547748,1.550869,1.545906,1.547508,1.547508
5/26/2015,0.646330105,0.646330105,0.651179873,0.64632008,0.64632008,1.547197,1.547197,1.535674,1.547221,1.547221
5/27/2015,0.649520199,0.647800136,0.653269844,0.649410108,0.649410108,1.539598,1.543686,1.530761,1.539859,1.539859
5/28/2015,0.651509939,0.64990011,0.655100217,0.651459856,0.651459856,1.534896,1.538698,1.526484,1.535014,1.535014
5/29/2015,0.652779863,0.651760045,0.656099958,0.652779863,0.652779863,1.53191,1.534307,1.524158,1.53191,1.53191
6/1/2015,0.654109936,0.653339841,0.658999862,0.654070148,0.654070148,1.528795,1.530597,1.517451,1.528888,1.528888
